Date,Company name,Description,Category,Account name,Grand,CashNet,CashVAT,CCNet
01 Jun 2024,,)))SCOOBY DOOS DISCOUNTS SPALDING GB,,cc,,,,11.1
01 Jun 2024,,)))B M 610 WESTLODE SPALDING GB,,cc,,,,42.5
03 Jun 2024,,INTUIT QBooks Online 08081684238 GB,,cc,,,,29.4
04 Jun 2024,,)))LINCO PLC BRANCH 81 SPALDING GB,,cc,,,,16
04 Jun 2024,,AMAZON 204 0960255 77 LONDON GB,,cc,,,,18.97
05 Jun 2024,,Microsoft G047910119 msbill.info GB,,cc,,,,20.64
10 Jun 2024,,B Q 1170 SPALDING GB,,cc,,,,62.64
11 Jun 2024,,CLR WWW.AC ONE.CO.UK RAUNDS GB,,cc,,,,1672.2
12 Jun 2024,,)))LINCO PLC BRANCH 81 SPALDING GB,,cc,,,,10.44
12 Jun 2024,,)))LINCO PLC BRANCH 81 SPALDING GB,,cc,,,,15.66
12 Jun 2024,,INTERCOUNTY TRUCK AND BOSTON GB,,cc,,,,203.62
17 Jun 2024,,FS optimoroute fsprg.uk GB 46.80 USD 1.2655 Visa Exchange Rate,,cc,,,,36.98
17 Jun 2024,,NON STERLING TRANSACTION FEE,,cc,,,,1.11
19 Jun 2024,,eBay O 03 11718 05712 LONDON GB,,cc,,,,18.51
19 Jun 2024,,)))AUTORAMA PETERBOROUGH PETERBOROUGH GB,,cc,,,,60
19 Jun 2024,,eBay O 22 11700 08841 LONDON GB,,cc,,,,219.89
19 Jun 2024,,)))FOUR WINDS SVC STN EAST HECKINGT GB,,cc,,,,6.99
20 Jun 2024,,eBay O 22 11700 08841 LONDON GB,,cc,,,,-219.89
24 Jun 2024,,)))ESSO BROWNS BLUE LEICESTER GB,,cc,,,,67.92
25 Jun 2024,,WWW.COVERSURE.CO.UK HUNTINGDON GB,,cc,,,,1129.7
28 Jun 2024,,eBay O 19 11739 62713 LONDON GB,,cc,,,,32.94
28 Jun 2024,,NTP ONLINE LEARNING SPALDING GB,,cc,,,,79.9
